TAXON_NAME,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Ablabesmyia mallochi,133,60,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia mallochi,NA
Ablabesmyia peleensis,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Ablabesmyia,NA,Ablabesmyia peleensis,NA
Acari,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aedes sp.,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Aedes,NA,sp.,NA
Agabus sp.,4,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Agabus,NA,sp.,NA
Anacaena sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Anacaena,NA,sp.,NA
Ancyronyx variegatus,67,17,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Ancyronyx,NA,Ancyronyx variegatus,NA
Anopheles sp.,13,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Anopheles,NA,sp.,NA
Berosus sp.,23,15,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Berosus,NA,sp.,NA
Cambaridae,35,16,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,NA,NA,NA,NA
Cenocorixa sp.,4,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Cenocorixa,NA,sp.,NA
Ceratopogonidae,8,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,NA,NA,NA,NA,NA,NA,NA
Ceratopogoninae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,NA,NA,NA
Chaoborus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chaoboridae,NA,NA,NA,Chaoborus,NA,sp.,NA
Cheumatopsyche sp.,6,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Cheumatopsyche,NA,sp.,NA
Chironomus sp.,45,26,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Chironomus,NA,sp.,NA
Cladopelma sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cladopelma,NA,sp.,NA
Cladotanytarsus sp.,169,31,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Cladotanytarsus,NA,sp.,NA
Copelatus sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Copelatinae,NA,NA,Copelatus,NA,sp.,NA
Coptotomus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Coptotomus,NA,sp.,NA
Corbicula sp.,38,6,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Corbiculidae,NA,NA,NA,Corbicula,NA,sp.,NA
Corixidae,3,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,NA,NA,NA,NA
Cricotopus bicinctus gr.,35,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus bicinctus gr.,NA
Cricotopus sp.,22,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,NA,sp.,NA
Cricotopus trifascia gr.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus trifascia gr.,NA
Cryptochironomus sp.,15,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cryptochironomus,NA,sp.,NA
Cryptotendipes sp.,6,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cryptotendipes,NA,sp.,NA
Culex sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Culex,NA,sp.,NA
Culicidae,8,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,NA,NA,NA,NA
Dicrotendipes fumidus,5,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes fumidus,NA
Dicrotendipes lucifer,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes lucifer,NA
Dicrotendipes modestus,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes modestus,NA
Dicrotendipes neomodestus,33,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes neomodestus,NA
Dicrotendipes simpsoni,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes simpsoni,NA
Diptera,6,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolichopodidae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Dolichopodidae,NA,NA,NA,NA,NA,NA,NA
Dubiraphia sp.,268,33,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Dubiraphia,NA,sp.,NA
Empididae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,NA,NA,NA,NA
Enochrus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Enochrus,NA,sp.,NA
Ephydridae,6,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Ephydridae,NA,NA,NA,NA,NA,NA,NA
Glyptotendipes sp.,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Glyptotendipes,NA,sp.,NA
Goeldichironomus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Goeldichironomus,NA,sp.,NA
Haliplidae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,NA,NA,NA,NA
Harnischia sp.,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Harnischia,NA,sp.,NA
Helichus basalis,9,6,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus basalis,NA
Helichus lithophilus,14,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus lithophilus,NA
Helichus sp.,6,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,sp.,NA
Helichus striatus,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus striatus,NA
Helicopsyche borealis,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Helicopsychidae,NA,NA,NA,Helicopsyche,NA,Helicopsyche borealis,NA
Hemerodromia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,Hemerodromia,NA,sp.,NA
Hydropsyche simulans,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche simulans,NA
Hydroptila sp.,4,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Hydroptila,NA,sp.,NA
Hydroptilidae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA
Hygrobates sp.,5,3,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Hygrobatidae,NA,NA,NA,Hygrobates,NA,sp.,NA
Ilybius sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Ilybius,NA,sp.,NA
Labrundinia sp.,8,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Labrundinia,NA,sp.,NA
Laccophilus fasciatus,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Laccophilinae,Laccophilini,NA,Laccophilus,NA,Laccophilus fasciatus,NA
Macronychus glabratus,47,18,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Macronychus,NA,Macronychus glabratus,NA
Microtendipes pedellus gr.,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Microtendipes,NA,Microtendipes pedellus gr.,NA
Mideopsis sp.,2,2,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Mideopsidae,NA,NA,NA,Mideopsis,NA,sp.,NA
Musculium sp.,47,2,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,sp.,NA
Musculium transversum,6,2,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,Musculium transversum,NA
Nanocladius sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Nanocladius,NA,sp.,NA
Neoplea sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Pleidae,NA,NA,NA,Neoplea,NA,sp.,NA
Neoporus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Hydroporinae,Hydroporini,NA,Neoporus,NA,sp.,NA
Neumania sp.,4,4,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Neumania,NA,sp.,NA
Notonecta sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Notonectidae,NA,NA,NA,Notonecta,NA,sp.,NA
Orconectes sp.,1,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,Orconectes,NA,sp.,NA
Oxyethira sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Oxyethira,NA,sp.,NA
