ID,Gap_Code,PU_Gap_Code,ReachName,Date,X,Y,Purpose
1,7,kasky7,7,8/14/2015,40.15,-88.34,student_research
2,7,kasky7,Copper 8,8/10/2016,40.15,-88.34,copper
3,7,kasky7,Copper 8,7/7/2017,40.15,-88.34,copper
4,11,kasky11,Copper 11,8/18/2016,40.08,-88.32,copper
5,11,kasky11,Copper 11,7/14/2017,40.08,-88.32,copper
18,15,kasky15,15,2013-07-01,40.08,-88.34,random
7,12,kasky12,12,6/24/2013,40.11,-88.28,random
8,12,kasky12,12,11/8/2013,40.11,-88.28,random
9,12,kasky12,Copper 1,8/3/2016,40.11,-88.28,copper
10,12,kasky12,Copper 1,7/7/2017,40.11,-88.28,copper
114,404,kasky404,404,2013-07-01,39.6,-88.31,random
12,12,kasky12,Copper 12,8/18/2016,40.08,-88.32,copper
13,12,kasky12,Copper 12,7/14/2017,40.08,-88.32,copper
14,14,kasky14,Copper 2,8/3/2016,40.08,-88.32,copper
15,14,kasky14,Copper 2,7/24/2017,40.08,-88.32,copper
16,14,kasky14,Copper 3,8/8/2016,40.08,-88.33,copper
17,14,kasky14,Copper 3,7/13/2017,40.08,-88.33,copper
139,754,kasky754,754,2013-07-01,39.44,-88.95,random
19,15,kasky15,15,5/14/2013,40.08,-88.34,random
20,15,kasky15,15,7/8/2013,40.08,-88.34,random
21,15,kasky15,15,11/8/2013,40.08,-88.34,random
22,15,kasky15,Copper 15,9/2/2016,40.08,-88.34,copper
23,15,kasky15,Copper 15,7/13/2017,40.08,-88.34,copper
168,795,kasky795,795,2013-07-01,39.4,-88.89,random
25,19,kasky19,Copper 4,8/8/2016,40.07,-88.34,copper
26,19,kasky19,Copper 4 ,7/13/2017,40.07,-88.34,copper
27,25,kasky25,25,8/14/2015,39.99,-88.45,student_research
28,39,kasky39,Copper 5,8/9/2016,39.98,-88.31,copper
29,39,kasky39,Copper 5,7/24/2017,39.98,-88.31,copper
30,43,kasky43,Copper 9,8/11/2016,39.94,-88.45,copper
31,43,kasky43,Copper 9,7/31/2017,39.94,-88.45,copper
229,1038,kasky1038,1038,2013-07-01,39.28,-89.04,random
33,44,kasky44,44,6/24/2015,39.93,-88.54,random
34,46,kasky46,46,5/14/2013,40.01,-88.34,random
35,46,kasky46,46,8/14/2013,40.01,-88.34,random
36,46,kasky46,46,11/8/2013,40.01,-88.34,random
37,46,kasky46,Copper 7,8/10/2016,40.01,-88.34,copper
38,46,kasky46,Copper 7,7/17/2017,40.01,-88.34,copper
39,46,kasky46,Copper 7,7/18/2017,40.01,-88.34,copper
40,46,kasky46,Copper 7,7/18/2017,40.01,-88.34,copper
244,1160,kasky1160,1160,2013-07-01,39.25,-88.89,random
42,52,kasky52,Copper 6,8/9/2016,39.91,-88.33,copper
43,52,kasky52,Copper 6,7/24/2017,39.91,-88.33,copper
307,1431,kasky1431,1431,2013-07-01,39.18,-89.35,random
45,60,kasky60,Copper 10,8/11/2016,39.9,-88.52,copper
46,60,kasky60,Copper 10,7/31/2017,39.9,-88.52,copper
47,76,kasky76,OW-03,9/6/2016,39.87,-88.51,mussel
48,76,kasky76,OW-03,9/6/2016,39.87,-88.51,mussel
312,1474,kasky1474,1474,2013-07-01,39.17,-89.36,random
50,92,kasky92,92,6/29/2017,39.83,-88.48,random
51,111,kasky111,WO9,8/12/2014,39.81,-88.69,student_research
52,132,kasky132,WO8,8/12/2014,39.81,-88.65,student_research
53,150,kasky150,WO11,8/18/2014,39.76,-88.63,student_research
327,1542,kasky1542,1542,2013-07-01,39.14,-89.35,random
356,1635,kasky1635,1635,2013-07-01,39.11,-89.47,random
56,157,kasky157,157,6/1/2016,39.76,-88.6,paired
57,157,kasky157,157,7/5/2016,39.76,-88.6,paired
58,157,kasky157,157,7/6/2016,39.76,-88.6,paired
59,157,kasky157,157,11/29/2016,39.76,-88.6,paired
60,157,kasky157,157,7/19/2017,39.76,-88.6,paired
61,157,kasky157,157,7/19/2017,39.76,-88.6,paired
