PU_Gap_Code,Reach_Name,Event_Date,Fish_Species_Code,Length,Weight
kasky12,Copper 1,2016-08-03T00:00:00Z,ORD,35,0.3
kasky12,Copper 1,2016-08-03T00:00:00Z,ORD,37,0.8
kasky12,Copper 1,2016-08-03T00:00:00Z,ORD,39,0.7
kasky12,Copper 1,2017-07-07T00:00:00Z,CRC,124,24.6
kasky12,Copper 1,2017-07-07T00:00:00Z,CRC,125,23.8
kasky12,Copper 1,2017-07-07T00:00:00Z,CRC,135,27
kasky12,Copper 1,2017-07-07T00:00:00Z,CRC,135,27.9
kasky12,Copper 12,2017-07-14T00:00:00Z,CRC,178,64
kasky12,Copper 12,2017-07-14T00:00:00Z,CRC,178,67
kasky12,Copper 12,2017-07-14T00:00:00Z,CRC,184,76
kasky12,kasky12,2013-06-24T00:00:00Z,LMB,29,1
kasky12,kasky12,2013-06-24T00:00:00Z,LMB,30,1
kasky12,kasky12,2013-06-24T00:00:00Z,LMB,31,1
kasky12,kasky12,2013-06-24T00:00:00Z,BLG,95,6
kasky12,kasky12,2013-06-24T00:00:00Z,BLG,102,21
