ID,SurveyYear,SurveyEvent,Gap_Code,PU_Gap_Code,Date,ReachName,X,Y,Purpose
1,10001,20001,7,kasky7,8/14/2015,7,40.15,-88.34,student research
2,10002,20002,7,kasky7,8/10/2016,Copper 8,40.15,-88.34,copper
3,10003,20003,7,kasky7,7/7/2017,Copper 8,40.15,-88.34,copper
4,10004,20004,11,kasky11,8/18/2016,Copper 11,40.08,-88.32,copper
5,10005,20005,11,kasky11,7/14/2017,Copper 11,40.08,-88.32,copper
6,10006,20006,12,kasky12,2013,12,40.11,-88.28,random
7,10006,20007,12,kasky12,6/24/2013,12,40.11,-88.28,random
8,10006,20008,12,kasky12,11/8/2013,12,40.11,-88.28,random
9,10007,20009,12,kasky12,8/3/2016,Copper 1,40.11,-88.28,copper
10,10009,20012,12,kasky12,7/7/2017,Copper 1,40.11,-88.28,copper
11,10010,20011,12,kasky12,2017,Copper 12,40.08,-88.32,copper
12,10008,20010,12,kasky12,8/18/2016,Copper 12,40.08,-88.32,copper
13,10010,20013,12,kasky12,7/14/2017,Copper 12,40.08,-88.32,copper
14,10011,20014,14,kasky14,8/3/2016,Copper 2,40.08,-88.32,copper
15,10013,20017,14,kasky14,7/24/2017,Copper 2,40.08,-88.32,copper
16,10012,20015,14,kasky14,8/8/2016,Copper 3,40.08,-88.33,copper
17,10013,20016,14,kasky14,7/13/2017,Copper 3,40.08,-88.33,copper
18,10014,20018,15,kasky15,2013,15,40.08,-88.34,random
19,10014,20019,15,kasky15,5/14/2013,15,40.08,-88.34,random
20,10014,20020,15,kasky15,7/8/2013,15,40.08,-88.34,random
21,10014,20021,15,kasky15,11/8/2013,15,40.08,-88.34,random
22,10015,20022,15,kasky15,9/2/2016,Copper 15,40.08,-88.34,copper
23,10015,20023,15,kasky15,7/13/2017,Copper 15,40.08,-88.34,copper
24,10017,20025,19,kasky19,2017,Copper 4,40.07,-88.34,copper
25,10016,20024,19,kasky19,8/8/2016,Copper 4,40.07,-88.34,copper
26,10017,20026,19,kasky19,7/13/2017,Copper 4 ,40.07,-88.34,copper
27,10018,20027,25,kasky25,8/14/2015,25,39.99,-88.45,student research
28,10019,20028,39,kasky39,8/9/2016,Copper 5,39.98,-88.31,copper
29,10020,20029,39,kasky39,7/24/2017,Copper 5,39.98,-88.31,copper
30,10021,20030,43,kasky43,8/11/2016,Copper 9,39.94,-88.45,copper
31,10022,20031,43,kasky43,7/31/2017,Copper 9,39.94,-88.45,copper
32,10023,20032,44,kasky44,2015,44,39.93,-88.54,random
33,10023,20033,44,kasky44,6/24/2015,44,39.93,-88.54,random
34,10024,20034,46,kasky46,5/14/2013,46,40.01,-88.34,random
35,10024,20035,46,kasky46,8/14/2013,46,40.01,-88.34,random
36,10024,20036,46,kasky46,11/8/2013,46,40.01,-88.34,random
37,10025,20037,46,kasky46,8/10/2016,Copper 7,40.01,-88.34,copper
38,10026,20038,46,kasky46,7/17/2017,Copper 7,40.01,-88.34,copper
39,10026,20039,46,kasky46,7/18/2017,Copper 7,40.01,-88.34,copper
40,10026,20609,46,kasky46,7/18/2017,Copper 7,40.01,-88.34,copper
41,10028,20041,52,kasky52,2017,Copper 6,39.91,-88.33,copper
42,10027,20040,52,kasky52,8/9/2016,Copper 6,39.91,-88.33,copper
43,10028,20042,52,kasky52,7/24/2017,Copper 6,39.91,-88.33,copper
44,10030,20044,60,kasky60,2017,Copper 10,39.9,-88.52,copper
45,10029,20043,60,kasky60,8/11/2016,Copper 10,39.9,-88.52,copper
46,10030,20045,60,kasky60,7/31/2017,Copper 10,39.9,-88.52,copper
47,10031,20046,76,kasky76,9/6/2016,OW-03,39.87,-88.51,mussel
48,10031,20610,76,kasky76,9/6/2016,OW-03,39.87,-88.51,mussel
49,10032,20047,81,kasky81,2015,81,39.86,-88.36,random
50,10033,20048,92,kasky92,6/29/2017,92,39.83,-88.48,random
51,10034,20049,111,kasky111,8/12/2014,WO9,39.81,-88.69,student research
52,10035,20050,132,kasky132,8/12/2014,WO8,39.81,-88.65,student research
53,10036,20051,150,kasky150,8/18/2014,WO11,39.76,-88.63,student research
54,10037,20052,157,kasky157,2016,157,39.76,-88.6,paired
55,10038,20057,157,kasky157,2017,157,39.76,-88.6,paired
56,10037,20053,157,kasky157,6/1/2016,157,39.76,-88.6,paired
57,10037,20054,157,kasky157,7/5/2016,157,39.76,-88.6,paired
58,10037,20055,157,kasky157,7/6/2016,157,39.76,-88.6,paired
59,10037,20056,157,kasky157,11/29/2016,157,39.76,-88.6,paired
60,10038,20058,157,kasky157,7/19/2017,157,39.76,-88.6,paired
61,10038,20611,157,kasky157,7/19/2017,157,39.76,-88.6,paired
62,10038,20059,157,kasky157,10/10/2017,157,39.76,-88.6,paired
63,10039,20060,161,kasky161,2016,161,39.76,-88.63,paired
64,10040,20065,161,kasky161,2017,161,39.76,-88.63,paired
65,10039,20061,161,kasky161,6/1/2016,161,39.76,-88.63,paired
66,10039,20062,161,kasky161,7/5/2016,161,39.76,-88.63,paired
67,10039,20063,161,kasky161,7/6/2016,161,39.76,-88.63,paired
68,10039,20064,161,kasky161,11/29/2016,161,39.76,-88.63,paired
69,10040,20066,161,kasky161,7/18/2017,161,39.76,-88.63,paired
70,10040,20612,161,kasky161,7/18/2017,161,39.76,-88.63,paired
71,10040,20067,161,kasky161,10/10/2017,161,39.76,-88.63,paired
72,10041,20068,172,kasky172,8/11/2014,WO13,39.74,-88.65,student research
73,10042,20069,175,kasky175,8/20/2014,WO28,39.74,-88.7,student research
74,10045,20072,176,kasky176,8/23/2016,Copper 14,39.74,-88.66,copper
75,10046,20073,176,kasky176,7/26/2017,Copper 14,39.74,-88.66,copper
76,10043,20070,176,kasky176,8/6/2014,WO14,39.75,-88.67,student research
77,10044,20071,176,kasky176,8/6/2014,WO16,39.75,-88.73,student research
78,10047,20074,182,kasky182,7/15/2014,182,39.73,-88.69,random
79,10048,20075,192,kasky192,6/16/2014,192,39.73,-88.69,random
80,10049,20076,222,kasky222,9/6/2016,O-17,39.7,-88.38,mussel
81,10049,20613,222,kasky222,9/6/2016,O-17,39.7,-88.38,mussel
82,10050,20077,239,kasky239,2015,239,39.69,-88.66,random
83,10052,20081,251,kasky251,2014,F7,39.67,-88.66,focal
84,10051,20078,251,kasky251,8/6/2013,F7,39.67,-88.66,focal
85,10051,20080,251,kasky251,11/11/2013,F7,39.67,-88.66,focal
86,10052,20079,251,kasky251,6/2/2014,F7,39.67,-88.66,focal
87,10052,20082,251,kasky251,7/7/2014,F7,39.67,-88.66,focal
88,10053,20083,251,kasky251,9/14/2015,F7,39.67,-88.66,focal
89,10054,20084,264,kasky264,8/11/2014,WO25,39.67,-88.68,student research
90,10059,20093,272,kasky272,8/23/2016,Copper 13,39.67,-88.66,copper
91,10057,20094,272,kasky272,7/20/2017,Copper 13,39.67,-88.66,copper
92,10057,20089,272,kasky272,8/14/2017,Copper 13,39.67,-88.66,copper
93,10057,20624,272,kasky272,8/14/2017,Copper 13 ,39.67,-88.66,copper
94,10055,20085,272,kasky272,2014,F8,39.67,-88.66,focal
95,10058,20091,272,kasky272,2015,F8,39.67,-88.66,focal
96,10056,20088,272,kasky272,8/6/2013,F8,39.67,-88.66,focal
97,10056,20090,272,kasky272,11/11/2013,F8,39.67,-88.66,focal
98,10055,20087,272,kasky272,6/2/2014,F8,39.67,-88.66,focal
99,10055,20086,272,kasky272,7/7/2014,F8,39.67,-88.66,focal
100,10058,20092,272,kasky272,9/14/2015,F8,39.67,-88.66,focal
101,10060,20095,273,kasky273,05/15/2013,273,39.66,-88.68,random
102,10063,20100,276,kasky276,2015,F9,39.65,-88.68,focal
103,10061,20096,276,kasky276,8/6/2013,F9,39.65,-88.68,focal
104,10061,20097,276,kasky276,11/11/2013,F9,39.65,-88.68,focal
105,10062,20098,276,kasky276,6/2/2014,F9,39.65,-88.68,focal
106,10062,20099,276,kasky276,7/7/2014,F9,39.65,-88.68,focal
107,10063,20101,276,kasky276,9/14/2015,F9,39.65,-88.68,focal
108,10064,20102,288,kasky288,6/8/2017,288,39.66,-88.76,random
109,10065,20103,289,kasky289,7/10/2015,289,39.65,-88.58,student research
110,10066,20104,299,kasky299,05/15/2013,299,39.64,-88.69,random
111,10067,20105,302,kasky302,5/29/2014,302,39.64,-88.75,random
