OBJECTID,Join_Count,TARGET_FID,JOIN_FID,PU_Code,Gap_Code,PU_Gap_Code,Reach_Name,Event_Date,Event_Year,Event_Month,Event_Day,Latitude,Longitude,Stream_Name,Site_Type,Event_Purpose,IBIREGION_
1,1,1,5,kasky,1009,kasky1009,kasky1009,2018-07-10 0:00,2018,7,10,39.30039,-88.65669,Brush Creek,random,summer_survey,9
2,1,2,5,kasky,1025,kasky1025,kasky1025,2018-09-11 0:00,2018,9,11,39.2981,-89.15934,Ramsey Creek,paired,summer_survey,9
3,0,3,-1,kasky,1077,kasky1077,kasky1077,2018-08-07 0:00,2018,8,7,39.290294,-89.43819297,Middle Fork Shoal Creek,random,summer_survey,10
4,1,4,5,kasky,1143,kasky1143,kasky1143,2018-08-08 0:00,2018,8,8,39.274019,-88.749428,Richland Creek,random,summer_survey,9
5,1,5,5,kasky,1237,kasky1237,kasky1237,2018-09-12 0:00,2018,9,12,39.23206,-89.18685,Elliot Creek,paired,summer_survey,9
6,1,6,5,kasky,124,kasky124,kasky124,2018-07-12 0:00,2018,7,12,39.80687,-88.69678,Okaw River,random,summer_survey,9
7,1,7,5,kasky,1263,kasky1263,kasky1263,2018-09-19 0:00,2018,9,19,39.223472,-88.841306,Holliday Tributary to Kaskaskia,less_disturbed,summer_survey,9
8,1,8,5,kasky,1295,kasky1295,kasky1295,2018-10-01 0:00,2018,10,1,39.21536,-89.03,Tributary to Beck's Creek,less_disturbed,summer_survey,9
9,0,9,-1,kasky,1349,kasky1349,kasky1349,2018-08-01 0:00,2018,8,1,39.207287,-89.34455,East Fork Shoal Creek,random,summer_survey,10
10,1,10,5,kasky,1380,kasky1380,kasky1380,2018-07-24 0:00,2018,7,24,39.197913,-88.731057,Wolf Creek,random,summer_survey,9
11,1,11,5,kasky,1392,kasky1392,kasky1392,2018-09-30 0:00,2018,9,30,39.18847,-89.25801,Hurricane Creek,paired,summer_survey,9
12,0,12,-1,kasky,1474,kasky1474,kasky1474,2018-08-07 0:00,2018,8,7,39.173198,-89.361519,East Fork Shoal Creek,random,summer_survey,10
13,1,13,5,kasky,1517,kasky1517,kasky1517,2018-10-01 0:00,2018,10,1,39.15395,-89.25558,Tributary to Hurricane Creek,paired,summer_survey,9
14,1,14,5,kasky,157,kasky157,kasky157,2018-08-14 0:00,2018,8,14,39.76281,-88.60593,Hammond Mutal Ditch,paired,summer_survey,9
15,1,15,5,kasky,1609,kasky1609,kasky1609,2018-09-20 0:00,2018,9,20,39.14425,-89.29864,Dry Fork,paired,summer_survey,9
16,1,16,5,kasky,161,kasky161,kasky161,2018-08-14 0:00,2018,8,14,39.76832,-88.63437,West Okaw River,paired,summer_survey,9
17,1,17,5,kasky,1668,kasky1668,kasky1668,2018-09-20 0:00,2018,9,20,39.11486,-89.28355,Lanes Branch,paired,summer_survey,9
