"","PU_Gap_Code","Reach_Name","Event_Date","Stream_Name","IBIREGION_","Mean_Width","Slope"
"1","kasky1009","kasky1009","07/10/2018","Brush Creek",9,4.2,0.131509
"2","kasky1025","kasky1025","09/11/2018","Ramsey Creek",9,3.166666667,0.135266
"3","kasky1077","kasky1077","08/07/2018","Middle Fork Shoal Creek",10,3.7,0.083191
"4","kasky1143","kasky1143","08/08/2018","Richland Creek",9,7.033333333,0.081258
"5","kasky1237","kasky1237","09/12/2018","Elliot Creek",9,2.633333333,0.285611
"6","kasky124","kasky124","07/12/2018","Okaw River",9,6.5,0.096012
"7","kasky1263","kasky1263","09/19/2018","Holliday Tributary to Kaskaskia",9,1.353333333,1.375635
"8","kasky1295","kasky1295","10/01/2018","Tributary to Beck's Creek",9,2.033333333,0.831772
"9","kasky1349","kasky1349","08/01/2018","East Fork Shoal Creek",10,9.233333333,0.067585
"10","kasky1380","kasky1380","07/24/2018","Wolf Creek",9,7.8,0.117436
"11","kasky1392","kasky1392","09/30/2018","Hurricane Creek",9,4.916666667,0.165954
"12","kasky1474","kasky1474","08/07/2018","East Fork Shoal Creek",10,3.066666667,0.141709
"13","kasky1517","kasky1517","10/01/018","Tributary to Hurricane Creek",9,2.583333333,0.3683
"14","kasky157","kasky157","08/14/2018","Hammond Mutal Ditch",9,2.833333333,0.059216
"15","kasky1609","kasky1609","09/20/2018","Dry Fork",9,4.133333333,0.258901
"16","kasky161","kasky161","08/14/2018","West Okaw River",9,2.9,0.077368
"17","kasky1668","kasky1668","09/20/2018","Lanes Branch",9,3.183333333,0.274881
"18","kasky1749","kasky1749","07/17/2018","Ash Creek",9,5.3,0.161161
"19","kasky2095","kasky2095","10/08/2018","Camp Creek",9,5.2,0.126998
"20","kasky2117","kasky2117",NA,"Trib to East Fork Shoal Creek",10,NA,NA
"21","kasky2153","kasky2153","10/09/2018","Sandy Run",9,3.083333333,0.251803
"22","kasky2240","kasky2240","09/25/2018","Trib to East Fork Shoal Creek",10,2.533333333,0.154817
"23","kasky2288","kasky2288","08/13/2018","Little Hickory Creek",9,4.633333333,0.145816
"24","kasky2337","kasky2337","07/18/2018","Little Hickory Creek",9,2.5,0.069361
"25","kasky3008","kasky3008","07/13/2018","Jim's Creek",9,3.2,0.246494
"26","kasky3014","kasky3014","10/09/2018","Jim's Creek",9,3.733333333,0.221987
"27","kasky3340","kasky3340","09/14/2018","East Branch Little Silver Creek",10,2.166666667,0.097876
"28","kasky3955","kasky3955","09/26/2018","Webster Creek",10,1.4,0.292272
"29","kasky4078","kasky4078","08/27/2018","Hazel Creek",10,2.666666667,0.315368
"30","kasky4535","kasky4535","08/27/2018","Gerhardt Creek",10,2.866666667,0.464836
"31","kasky5104","kasky5104","08/29/2018","Doza Creek",10,6.966666667,0.033296
"32","kasky5714","kasky5714","08/28/2018","Ninemile Creek",10,9.333333333,0.125098
"33","kasky761","kasky761","08/22/2018","Robinson Creek",9,3,0.074932
"34","kasky786","kasky786","08/22/2018","Mud Creek",9,6.1,0.027799
"35","kasky843","kasky843","07/11/2018","Richland Creek",9,1.6,0.623898
"36","kasky85","kasky85","07/08/2018","Lake Fork",9,12.46666667,0.124691
"37","kasky895","kasky895","08/02/2018","Middle Fork Shoal Creek",10,5,0.173792
"38","kasky939","kasky939","08/23/2018","Mitchell Creek",9,3,0.212773
"39","kasky957","kasky957","08/23/2018","West Fork Mitchell Creek",9,3.5,0.272052
"40","kasky985","kasky985","07/31/2018","West Fork Shoal Creek",10,4.633333333,0.195513
