"","Reach_Name","SITE","PU_Gap_Code","Site_Type","COUNT","Event_Date","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","LARVAE","PUPAE","ADULTS","TOTAL","X._SUB","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN"
"107","kasky302","302","kasky302","random",384,"7/28/2014","Freshwater","EcoAnalysts","6940.01-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046","kasky2505","2505","kasky2505","random",404,"7/30/2014","Freshwater","EcoAnalysts","6940.01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1454","kasky3337","3337","kasky3337","random",353,"7/30/2014","Freshwater","EcoAnalysts","6940.02-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2947","F5","F5","kasky1229","focal",355,"7/28/2014","Freshwater","EcoAnalysts","6940.03-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3892","RC4","RC4","kasky615","connectivity",571,"8/5/2014","Freshwater","EcoAnalysts","6940.03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3893","RC7","RC7","kasky761","connectivity",478,"8/18/2014","Freshwater","EcoAnalysts","6940.03-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3894","RC15","RC15","kasky798","connectivity",394,"8/5/2014","Freshwater","EcoAnalysts","6940.03-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3895","RC16A","RC16A","kasky798","connectivity",414,"8/13/2014","Freshwater","EcoAnalysts","6940.03-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3896","RC18","RC18","kasky850","connectivity",398,"8/8/2014","Freshwater","EcoAnalysts","6940.03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3897","RC20","RC20","kasky837","connectivity",426,"8/4/2014","Freshwater","EcoAnalysts","6940.03-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3934","WO8","WO8","kasky132","connectivity",422,"8/12/2014","Freshwater","EcoAnalysts","6940.03-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3935","WO9","WO9","kasky111","connectivity",376,"8/12/2014","Freshwater","EcoAnalysts","6940.03-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3936","WO11","WO11","kasky160","connectivity",399,"8/19/2014","Freshwater","EcoAnalysts","6940.03-32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3937","WO13","WO13","kasky172","connectivity",748,"8/11/2014","Freshwater","EcoAnalysts","6940.03-33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3938","WO14","WO14","kasky176","connectivity",444,"8/6/2014","Freshwater","EcoAnalysts","6940.03-34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3939","WO16","WO16","kasky176","connectivity",336,"8/6/2014","Freshwater","EcoAnalysts","6940.03-35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3940","WO25","WO25","kasky264","connectivity",355,"8/11/2014","Freshwater","EcoAnalysts","6940.03-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selected for processing at a later time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
