"","EA_Dataset","PU_Gap_Code","Reach_Name","Event_Date","REP","COUNT","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","LIFE_STAGE","ABUNDANCE","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","LARGE_RARE_TAXA","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN"
"1","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","L. Flaherty","28","Naididae","Larvae",1,1,"N","N","N","N","Y",0,"RC#2","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,68854
"2","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","93","Physa sp.","Larvae",3,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,76677
"3","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","477","Stenelmis sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Elmidae","","",NA,"Stenelmis","","sp.",NA,NA,114095
"4","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","490","Berosus sp.","Adults",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Hydrophilidae","","",NA,"Berosus","","sp.",NA,NA,112812
"5","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","768","Ablabesmyia mallochi","Larvae",5,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Ablabesmyia","","Ablabesmyia mallochi",NA,NA,128097
"6","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","838","Corynoneura sp.","Larvae",1,1,"N","N","N","N","Y",0,"#45","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Orthocladiinae","",NA,"Corynoneura","","sp.",NA,NA,128563
"7","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","934","Cryptochironomus sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Cryptochironomus","","sp.",NA,NA,129368
"8","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","940","Dicrotendipes fumidus","Larvae",2,1,"N","N","N","N","Y",0,"#44","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Dicrotendipes","","Dicrotendipes fumidus",NA,NA,129436
"9","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","1015","Paratanytarsus sp.","Larvae",11,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Paratanytarsus","","sp.",NA,NA,129935
"10","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","973","Phaenopsectra sp.","Larvae",10,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Phaenopsectra","","sp.",NA,NA,129637
"11","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","973","Phaenopsectra sp.","Pupae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Phaenopsectra","","sp.",NA,NA,129637
"12","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","977","Polypedilum fallax gr.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum fallax gr.",NA,NA,NA
"13","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","975","Polypedilum flavum","Larvae",33,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum flavum",NA,NA,NA
"14","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","975","Polypedilum flavum","Pupae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum flavum",NA,NA,NA
"15","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","979","Polypedilum illinoense gr.","Larvae",58,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum illinoense gr.",NA,NA,NA
"16","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","979","Polypedilum illinoense gr.","Pupae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum illinoense gr.",NA,NA,NA
"17","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","983","Polypedilum scalaenum gr.","Larvae",15,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum scalaenum gr.",NA,NA,NA
"18","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","3311","Saetheria tylus","Larvae",9,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Saetheria","","Saetheria tylus",NA,NA,129737
"19","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","1029","Tanytarsus sp.","Larvae",5,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Tanytarsus","","sp.",NA,NA,129978
"20","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","1029","Tanytarsus sp.","Pupae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Tanytarsus","","sp.",NA,NA,129978
"21","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","G. Wallace","805","Thienemannimyia gr. sp.","Larvae",8,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Thienemannimyia gr.","","sp.",NA,NA,NA
"22","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","738","Simulium sp.","Larvae",6,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Simuliidae","","",NA,"Simulium","","sp.",NA,NA,126774
"23","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","764","Tipula sp.","Larvae",1,1,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","","","","Tipulidae","Tipulinae","",NA,"Tipula","","sp.",NA,NA,119037
"24","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","1169","Acerpenna sp.","Larvae",9,NA,"N","N","Y","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Ephemeroptera","","","","Baetidae","","",NA,"Acerpenna","","sp.",NA,NA,568546
"25","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","153","Caenis sp.","Larvae",2,NA,"N","Y","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Ephemeroptera","","","","Caenidae","","",NA,"Caenis","","sp.",NA,NA,101478
"26","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","3772","Basiaeschna janata","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Odonata","Anisoptera","","","Aeshnidae","","",NA,"Basiaeschna","","Basiaeschna janata",NA,NA,NA
"27","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","268","Calopterygidae","Larvae",1,NA,"Y","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Odonata","Zygoptera","","","Calopterygidae","","",NA,"","","",NA,NA,102043
"28","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","544","Cheumatopsyche sp.","Larvae",30,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Trichoptera","","","","Hydropsychidae","Hydropsychinae","",NA,"Cheumatopsyche","","sp.",NA,NA,115408
"29","1","kasky1025","kasky1025","7/11/2016",NA,255,"Freshwater","EcoAnalysts","7824.02-7","J. Pfeiffer","118","Gammarus sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Gammaridae","","",NA,"Gammarus","","sp.",NA,NA,93773
