"","EA_Dataset","Reach_Name","SITE","PU_Gap_Code","Site_Type","COUNT","Event_Date","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN","LIFE_STAGE","ABUNDANCE","REP","LARGE_RARE_TAXA"
"1","2","kasky1025","1025",NA,NA,NA,"7/11/2016","Freshwater","EcoAnalysts","7824.02-7","L. Flaherty","28","Naididae",1,"N","N","N","Y",0,"RC#2","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",1,NA,"N"
"2","2","kasky1025","1025",NA,NA,NA,"7/12/2017","Freshwater","EcoAnalysts","7824.04-36","A. Navesky","3329","Musculium transversum",NA,"N","N","N","Y",2,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","Musculium transversum",NA,NA,"81428","Larvae",3,NA,"N"
"3","2","kasky1038","1038",NA,NA,NA,"8/1/2016","Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","102","Musculium sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",3,NA,"N"
"4","2","kasky1065","1065",NA,NA,NA,"6/22/2017","Freshwater","EcoAnalysts","7824.04-16","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",1,NA,"N"
"5","2","kasky1128","1128",NA,NA,NA,"6/11/2015","Freshwater","EcoAnalysts","7824.01-6","K. Guild","104","Sphaerium sp.",NA,"N","N","N","Y",7,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Sphaerium","","sp.",NA,NA,"81391","Adults",21,NA,"N"
"6","2","kasky1168","1168",NA,NA,NA,"6/11/2014","Freshwater","EcoAnalysts","7824.01-7","K. Guild","103","Pisidium sp.",NA,"N","N","N","Y",4,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Pisidium","","sp.",NA,NA,"81400","Adults",7,NA,"N"
"7","2","kasky1218","1218",NA,NA,NA,"6/16/2016","Freshwater","EcoAnalysts","7824.02-17","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",1,NA,"N"
"8","2","kasky1225","1225",NA,NA,NA,"8/2/2016","Freshwater","EcoAnalysts","7824.02-18","G. Wallace","1006","Cladotanytarsus sp.",NA,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Cladotanytarsus","","sp.",NA,NA,"129873","Larvae",1,NA,"N"
"9","2","kasky1237","1237",NA,NA,NA,"7/11/2016","Freshwater","EcoAnalysts","7824.02-8","J. Pfeiffer","93","Physa sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,"76677","Larvae",2,NA,"N"
"10","2","kasky1272","1272",NA,NA,NA,"6/23/2015","Freshwater","EcoAnalysts","7824.04-33","A. Navesky","101","Sphaeriidae",NA,"Y","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"","","",NA,NA,"81390","Larvae",3,NA,"N"
"11","2","kasky1311","1311",NA,NA,NA,"7/6/2015","Freshwater","EcoAnalysts","7824.01-8","K. Guild","104","Sphaerium sp.",NA,"N","N","N","Y",4,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Sphaerium","","sp.",NA,NA,"81391","Adults",8,NA,"N"
"12","2","kasky1328","1328",NA,NA,NA,"8/2/2016","Freshwater","EcoAnalysts","7824.02-19","J. Pfeiffer","426","Helichus striatus",1,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Dryopidae","","",NA,"Helichus","","Helichus striatus",NA,NA,"114017","Adults",1,NA,"N"
"13","2","kasky1338","1338",NA,NA,NA,"6/16/2016","Freshwater","EcoAnalysts","7824.02-20","J. Pfeiffer","93","Physa sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,"76677","Larvae",1,NA,"N"
"14","2","kasky1346","1346",NA,NA,NA,"6/14/2016","Freshwater","EcoAnalysts","7824.02-21","J. Pfeiffer","104","Sphaerium sp.",NA,"N","N","N","Y",4,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Sphaerium","","sp.",NA,NA,"81391","Larvae",11,NA,"N"
"15","2","kasky1392","1392",NA,NA,NA,"7/18/2016","Freshwater","EcoAnalysts","7824.02-9","J. Pfeiffer","102","Musculium sp.",2,"N","N","N","Y",2,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",4,NA,"N"
"16","2","kasky1424","1424",NA,NA,NA,"7/6/2015","Freshwater","EcoAnalysts","7824.04-28","A. Navesky","101","Sphaeriidae",NA,"Y","N","N","Y",0,"Sphaerium or Musculium","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"","","",NA,NA,"81390","Larvae",2,NA,"N"
"17","2","kasky1505","1505",NA,NA,NA,"6/19/2017","Freshwater","EcoAnalysts","7824.04-21","A. Navesky","68","Nematomorpha",NA,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
"18","2","kasky1546","1546",NA,NA,NA,"6/19/2017","Freshwater","EcoAnalysts","7824.04-23","L. Flaherty","28","Naididae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,"68854","Larvae",1,NA,"N"
