,EA_Dataset,Reach_Name,SITE,PU_Gap_Code,Event_Date
1,2,kasky1025,1025,kasky1025,7/11/2016
2,2,kasky1025,1025,kasky1025,7/12/2017
3,2,kasky1038,1038,kasky1038,8/1/2016
4,2,kasky1065,1065,kasky1065,6/22/2017
5,2,kasky1128,1128,kasky1128,6/11/2015
6,2,kasky1168,1168,kasky1168,6/11/2014
7,2,kasky1218,1218,kasky1218,6/16/2016
8,2,kasky1225,1225,kasky1225,8/2/2016
9,2,kasky1237,1237,kasky1237,7/11/2016
10,2,kasky1272,1272,kasky1272,6/23/2015
11,2,kasky1311,1311,kasky1311,7/6/2015
12,2,kasky1328,1328,kasky1328,8/2/2016
13,2,kasky1338,1338,kasky1338,6/16/2016
14,2,kasky1346,1346,kasky1346,6/14/2016
15,2,kasky1392,1392,kasky1392,7/18/2016
16,2,kasky1424,1424,kasky1424,7/6/2015
17,2,kasky1505,1505,kasky1505,6/19/2017
18,2,kasky1546,1546,kasky1546,6/19/2017
19,2,kasky157,157,kasky157,7/5/2016
20,2,kasky1609,1609,kasky1609,7/13/2016
21,2,kasky161,161,kasky161,7/5/2016
22,2,kasky1614,1614,kasky1614,6/12/2017
23,2,kasky1633,1633,kasky1633,7/16/2015
24,2,kasky1668,1668,kasky1668,7/13/2016
25,2,kasky173,173,kasky173,6/2/2017
26,2,kasky1747,1747,kasky1747,6/20/2017
27,2,kasky1785,1785,kasky1785,6/26/2017
28,2,kasky1799,1799,kasky1799,6/21/2016
29,2,kasky1801,1801,kasky1801,6/16/2017
30,2,kasky1833,1833,kasky1833,6/20/2017
31,2,kasky1881,1881,kasky1881,6/20/2017
32,2,kasky1922,1922,kasky1922,6/26/2017
33,2,kasky1945,1945,kasky1945,7/28/2016
34,2,kasky2095,2095,kasky2095,6/30/2016
35,2,kasky2115,2115,kasky2115,6/21/2017
36,2,kasky2117,2117,kasky2117,6/30/2016
37,2,kasky2153,2153,kasky2153,6/30/2016
38,2,kasky2188,2188,kasky2188,8/4/2016
39,2,kasky2219,2219,kasky2219,8/4/2016
40,2,kasky2219,2219,kasky2219,6/22/2017
41,2,kasky2232,2232,kasky2232,7/1/2013
42,2,kasky2240,2240,kasky2240,7/12/2016
43,2,kasky2299,2299,kasky2299,6/15/2016
44,2,kasky2314,2314,kasky2314,7/29/2015
45,2,kasky2349,2349,kasky2349,7/22/2013
46,2,kasky2353A,2353A,kasky2353,6/27/2016
47,2,kasky2552,2552,kasky2552,7/29/2015
48,2,kasky2636,2636,kasky2636,6/29/2016
49,2,kasky2745,2745,kasky2745,7/25/2017
50,2,kasky2773,2773,kasky2773,7/5/2017
51,2,kasky2781,2781,kasky2781,7/30/2015
52,2,kasky288,288,kasky288,6/8/2017
53,2,kasky2911,2911,kasky2911,8/2/2017
54,2,kasky3461,3461,kasky3461,6/28/2016
55,2,kasky3496,3496,kasky3496,7/23/2013
56,2,kasky3565,3565,kasky3565,7/29/2015
57,2,kasky3584,3584,kasky3584,6/23/2016
58,2,kasky3593,3593,kasky3593,6/22/2016
59,2,kasky3841,3841,kasky3841,7/29/2015
60,2,kasky4092,4092,kasky4092,6/22/2016
61,2,kasky421,421,kasky421,6/8/2017
62,2,kasky44,44,kasky44,6/24/2015
63,2,kasky4479,4479,kasky4479,7/1/2014
64,2,kasky4504,4504,kasky4504,6/22/2016
65,2,kasky4532,4532,kasky4532,7/21/2015
66,2,kasky5001,5001,kasky5001,7/21/2015
67,2,kasky5128,5128,kasky5128,7/22/2015
68,2,kasky517,517,kasky517,6/29/2017
69,2,kasky5234,5234,kasky5234,8/1/2017
70,2,kasky5667,5667,kasky5667,7/22/2015
71,2,kasky5764,5764,kasky5764,7/22/2015
72,2,kasky5770,5770,kasky5770,7/22/2015
73,2,kasky661,661,kasky661,7/5/2017
74,2,kasky745,745,kasky745,6/13/2016
75,2,kasky761,761,kasky761,7/26/2016
76,2,kasky761,761,kasky761,7/3/2017
77,2,kasky786,786,kasky786,7/26/2016
78,2,kasky835,835,kasky835,8/3/2017
79,2,kasky884,884,kasky884,6/6/2017
80,2,kasky92,92,kasky92,6/29/2017
81,2,kasky939,939,kasky939,8/1/2016
82,2,kasky939,939,kasky939,7/10/2017
83,2,kasky948,948,kasky948,6/26/2017
84,2,kasky950,950,kasky950,6/4/2015
85,2,kasky957,957,kasky957,7/19/2016
86,2,kasky957,957,kasky957,7/10/2017
87,2,kasky969,969,kasky969,6/19/2017
88,2,kasky992,992,kasky992,6/28/2016
89,2,F15,F15,kasky1849,8/26/2015
90,2,F6,F6,kasky1229,9/10/2015
91,2,F7,F7,kasky251,9/14/2015
92,2,F9,F9,kasky276,9/14/2015
