"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",11,14,2,6,13,8,15,3,22,12,25,26,18,21,19,10,4,20,9,24,23,27,28,1,5,30,16,17,29,7
"2",5,26,1,14,27,20,2,24,13,4,18,15,11,25,10,28,29,19,23,9,30,12,17,6,21,16,8,7,22,3
"3",13,11,25,4,29,1,17,15,28,12,7,5,24,2,3,8,9,27,6,18,30,20,22,16,26,19,10,23,14,21
"4",26,5,7,27,6,20,28,8,21,25,30,24,22,23,12,29,2,3,18,19,11,1,14,15,16,17,13,10,9,4
"5",24,12,21,11,15,27,8,26,25,16,4,28,17,14,9,23,18,5,2,6,7,20,22,3,10,30,29,13,19,1
"6",10,13,1,12,21,26,27,2,19,5,23,30,18,15,4,22,24,6,9,14,28,7,8,20,3,25,17,29,11,16
"7",5,8,21,27,25,3,15,29,2,26,13,18,16,19,20,12,4,10,17,30,7,28,6,9,22,1,23,24,11,14
"8",24,15,4,8,23,9,18,11,13,2,6,10,1,22,12,21,26,7,28,3,20,14,30,17,29,25,16,27,19,5
"9",14,15,16,2,28,4,30,18,3,8,7,13,25,27,6,29,24,11,26,5,12,10,1,17,23,19,22,21,9,20
"10",25,1,19,28,13,21,9,3,29,24,27,14,8,26,18,6,16,2,20,22,10,4,7,23,30,12,15,17,5,11
"11",17,13,18,16,26,10,21,4,27,6,7,23,30,11,25,5,28,15,2,29,3,22,20,19,24,12,8,9,1,14
"12",4,15,24,8,21,28,30,1,16,17,19,9,12,2,5,26,13,10,3,6,23,22,29,20,7,14,11,18,25,27
"13",27,30,10,19,13,14,8,26,22,16,12,15,3,18,23,9,1,21,11,5,20,29,2,28,4,7,6,25,24,17
"14",29,23,16,12,15,2,4,30,18,19,26,28,1,14,20,5,27,7,9,25,10,24,22,17,21,11,3,8,13,6
"15",9,26,3,22,20,1,14,8,24,5,29,19,16,2,11,10,23,7,27,21,4,13,25,15,18,30,28,6,17,12
"16",25,14,29,13,11,23,18,26,9,20,17,5,1,16,6,2,7,27,12,28,21,15,10,8,19,3,4,22,24,30
"17",5,12,3,8,4,21,24,26,29,14,2,17,18,22,6,13,19,10,28,15,11,9,7,1,16,27,30,25,20,23
"18",27,8,15,12,17,4,3,9,26,23,25,16,11,5,13,2,19,22,24,29,1,18,6,14,21,7,10,28,20,30
"19",26,10,3,20,28,15,14,19,16,8,1,17,29,6,25,27,12,22,13,24,2,21,11,9,5,18,4,7,30,23
"20",13,18,25,12,24,7,1,14,16,28,8,23,9,29,4,17,3,22,2,10,27,20,6,26,30,15,11,19,5,21
"21",3,25,13,5,18,15,12,19,9,30,26,14,10,6,22,27,8,29,21,16,11,4,7,24,20,23,2,28,1,17
"22",8,27,17,1,30,22,25,24,26,14,28,13,29,12,19,15,20,3,4,21,5,18,23,9,11,6,2,16,7,10
"23",8,5,16,7,26,2,11,15,4,19,18,12,17,3,22,27,13,29,10,25,24,6,14,30,1,21,20,23,28,9
"24",27,15,21,26,13,23,3,19,2,9,12,18,10,30,11,24,14,22,7,17,29,20,25,8,6,4,28,16,1,5
"25",5,9,12,2,27,13,11,24,14,16,26,1,17,15,6,10,4,3,21,29,25,8,22,28,23,30,18,19,7,20
"26",6,23,24,8,9,7,14,30,2,5,10,29,21,18,17,3,27,26,13,22,4,15,28,1,16,12,20,19,11,25
"27",26,3,17,19,2,7,5,20,24,21,16,13,11,23,1,30,6,9,14,15,22,28,29,18,4,8,25,10,12,27
"28",4,16,2,9,29,18,30,1,23,15,3,13,25,14,11,26,22,5,12,28,20,6,19,10,21,8,7,17,27,24
"29",2,19,5,12,14,24,28,1,3,30,26,16,29,6,13,4,15,21,18,9,11,8,23,22,7,17,20,10,27,25
"30",24,20,30,25,5,10,4,11,28,14,15,7,8,3,21,9,27,16,6,19,23,22,1,29,13,17,18,12,26,2
"31",1,28,30,20,17,16,13,5,2,27,9,26,7,19,14,24,8,25,12,23,10,29,11,4,21,18,15,6,3,22
"32",24,30,17,10,15,13,11,26,25,27,8,9,7,12,19,29,6,23,1,14,21,22,2,28,18,16,3,20,5,4
"33",4,14,10,30,29,20,28,15,1,3,12,2,17,21,18,24,23,13,8,19,16,11,26,27,25,5,9,6,22,7
"34",18,11,14,9,1,30,10,21,2,28,25,19,6,8,7,12,4,24,20,29,16,26,15,5,23,27,13,22,17,3
"35",23,8,16,7,18,30,6,17,5,1,14,9,4,24,21,11,19,20,3,12,13,10,25,28,2,22,15,26,29,27
"36",29,10,16,30,9,19,2,22,5,1,25,21,26,28,17,13,8,24,20,4,14,7,12,3,6,11,18,27,23,15
"37",6,30,21,14,3,29,10,24,28,19,15,18,13,7,17,22,16,23,5,20,25,12,2,26,1,8,11,4,27,9
"38",6,9,20,22,30,12,15,7,21,5,16,26,27,3,23,8,28,1,2,25,10,17,24,19,11,29,13,18,4,14
"39",28,13,14,4,3,21,11,15,18,27,30,7,9,29,6,12,2,5,8,23,10,17,20,16,19,26,22,24,1,25
"40",14,10,13,4,12,15,11,17,18,16,28,9,5,7,20,1,8,3,25,22,2,26,23,30,29,21,24,27,6,19
"41",30,4,13,7,12,27,24,28,15,10,25,11,22,5,8,6,21,20,1,2,16,29,14,9,18,23,17,26,19,3
"42",23,7,16,1,25,9,5,15,20,26,14,24,28,27,10,8,30,19,11,4,13,12,17,22,21,18,6,29,3,2
"43",1,4,8,12,27,17,15,5,24,7,10,22,29,14,6,28,11,19,25,18,23,2,13,20,30,9,26,21,3,16
"44",1,24,30,11,3,14,25,13,26,16,12,4,28,5,27,10,22,23,15,18,9,2,29,6,7,8,20,21,19,17
"45",8,1,23,5,15,25,11,28,24,12,14,18,6,7,27,30,3,4,2,9,22,10,16,19,21,26,13,20,29,17
"46",6,2,17,3,8,10,20,24,26,23,13,11,25,18,7,15,30,19,16,9,28,21,4,22,1,5,29,14,27,12
"47",24,8,2,20,11,10,13,9,19,30,1,28,23,27,3,6,22,21,29,18,26,4,12,5,16,15,17,7,25,14
"48",21,26,30,27,24,3,11,17,1,19,22,9,14,23,12,5,10,6,15,4,13,18,16,8,29,20,2,7,28,25
"49",30,11,12,27,5,28,6,17,21,29,1,3,20,2,18,7,22,25,16,8,23,13,15,9,4,14,19,24,26,10
"50",24,7,28,8,30,21,18,20,1,4,13,26,12,25,15,27,14,6,29,10,22,2,16,23,17,9,11,3,19,5
"51",15,20,23,25,14,7,13,12,19,29,18,22,26,8,28,10,5,6,4,16,9,1,30,2,17,21,24,11,3,27
"52",27,7,1,26,9,10,16,2,13,18,30,28,23,12,6,5,3,21,24,15,11,22,19,17,25,14,4,29,20,8
"53",30,13,25,27,7,1,26,20,15,22,24,3,21,28,19,2,16,6,18,29,8,4,14,10,11,23,5,17,9,12
"54",9,19,17,13,30,12,3,26,10,20,4,23,18,15,29,25,5,16,28,24,11,21,14,1,2,22,8,6,27,7
"55",22,29,3,19,24,16,12,10,9,5,4,8,17,30,11,1,25,26,13,15,27,6,21,2,28,7,23,20,14,18
"56",10,18,5,19,2,15,4,1,30,3,17,27,11,13,6,24,29,23,12,16,7,22,9,28,26,25,14,8,20,21
"57",30,21,25,20,19,27,15,14,28,10,16,12,4,8,11,22,3,24,29,5,23,2,18,13,17,9,6,7,26,1
"58",5,15,22,21,17,7,28,19,27,1,24,14,3,30,26,6,4,12,18,9,11,2,16,8,23,29,13,10,25,20
"59",6,13,22,17,14,2,1,20,5,28,30,12,24,15,11,3,29,9,21,18,7,26,4,8,23,16,19,25,10,27
"60",20,16,30,9,11,13,8,25,5,3,7,21,4,18,22,6,19,15,24,26,27,17,1,29,23,2,28,14,10,12
"61",21,8,14,4,3,1,18,13,12,16,2,27,5,17,7,10,15,29,19,9,24,6,25,23,11,20,22,28,30,26
"62",7,25,11,29,14,12,2,24,18,23,22,21,19,5,3,13,26,4,27,6,17,28,10,1,8,30,15,16,9,20
"63",10,16,27,30,23,2,17,28,24,22,9,18,15,8,11,25,7,20,14,4,12,3,13,1,19,21,6,5,26,29
"64",21,30,4,11,17,8,10,15,20,26,16,13,18,28,24,19,1,12,7,3,25,9,22,6,27,14,29,23,2,5
"65",10,17,26,3,21,19,29,20,23,1,28,4,14,11,18,2,6,7,5,15,30,9,27,8,22,24,25,13,16,12
"66",19,23,12,16,24,9,30,18,25,13,3,29,10,14,20,17,22,1,26,7,28,27,4,2,15,21,11,8,5,6
"67",15,6,25,18,26,29,20,30,24,8,1,7,10,17,12,16,11,13,9,27,19,21,22,23,14,28,3,4,5,2
"68",11,26,20,19,30,1,7,8,25,18,29,27,12,9,17,5,28,6,13,24,15,14,3,22,21,23,16,4,10,2
"69",23,24,16,20,12,14,18,8,26,15,4,6,13,10,11,30,1,7,5,28,21,22,17,9,2,29,3,19,25,27
"70",14,24,2,8,13,3,6,9,25,26,27,17,23,21,1,7,10,20,16,11,12,18,5,19,29,30,28,15,22,4
"71",21,14,10,22,13,7,2,9,6,30,17,11,4,28,26,27,1,8,5,3,20,18,12,25,16,29,15,23,19,24
"72",7,2,14,29,16,24,26,5,11,1,13,25,6,8,17,4,9,23,10,28,19,27,3,18,12,22,30,21,20,15
"73",26,3,11,1,28,12,15,29,6,25,18,14,22,4,10,8,13,5,17,30,19,2,27,16,23,21,7,9,20,24
"74",29,16,2,8,5,22,25,4,21,17,30,1,19,28,3,6,7,20,24,13,10,12,18,11,9,27,15,26,23,14
"75",19,30,3,23,16,9,2,28,29,27,20,13,22,7,26,4,1,11,18,14,10,5,24,6,21,8,15,17,25,12
"76",17,7,24,15,21,2,20,25,4,11,1,29,8,14,16,12,10,19,13,5,23,27,28,9,3,26,18,22,30,6
"77",3,27,19,29,2,30,4,25,23,13,10,20,18,15,24,7,22,6,21,5,9,12,14,26,17,1,28,11,8,16
"78",3,28,18,19,20,25,27,7,13,15,29,26,9,4,30,2,22,11,1,10,6,21,14,16,5,24,12,8,23,17
"79",9,17,14,22,25,8,2,1,21,6,19,10,23,5,30,11,4,29,28,27,18,20,16,3,13,12,24,26,15,7
"80",5,2,25,22,28,29,18,16,30,8,20,13,9,3,7,10,26,12,15,27,19,4,23,14,17,1,11,24,21,6
"81",15,30,21,1,19,22,6,11,24,18,23,10,27,28,17,26,2,8,3,9,12,7,16,20,13,25,29,14,4,5
"82",13,14,2,15,27,7,16,3,11,24,6,23,18,17,26,22,28,30,8,29,9,12,19,21,20,1,4,10,5,25
"83",23,28,1,13,19,3,24,15,7,27,18,2,12,4,8,16,26,30,22,29,6,9,10,20,5,17,11,14,25,21
"84",17,9,28,29,2,16,7,12,23,6,3,27,11,4,18,19,21,15,25,5,14,10,13,30,20,1,8,22,26,24
"85",14,22,10,28,11,15,3,30,6,23,9,5,7,29,25,16,13,19,2,18,8,21,4,12,26,20,1,24,17,27
"86",6,23,22,9,28,26,10,29,12,1,16,3,24,2,7,14,19,4,21,30,17,20,18,5,13,25,15,8,27,11
"87",18,11,16,9,17,21,6,23,22,8,2,28,13,27,29,26,30,19,4,5,20,1,25,24,14,12,15,10,3,7
"88",11,7,6,4,18,26,20,23,1,19,17,2,30,10,28,8,25,14,5,16,13,15,24,29,9,22,27,3,21,12
"89",29,25,3,13,23,15,10,20,17,12,9,6,5,26,11,14,2,19,21,22,8,4,24,18,27,16,1,30,28,7
"90",5,17,28,23,20,11,18,3,27,15,29,4,21,16,12,1,14,7,2,10,9,6,24,19,22,26,25,30,13,8
"91",28,1,4,9,8,6,10,29,20,17,5,30,2,16,26,21,19,18,11,12,25,27,23,13,15,24,22,7,3,14
"92",10,12,20,8,27,14,30,28,24,18,5,21,22,11,6,4,17,23,16,7,26,9,29,3,2,25,15,13,1,19
"93",23,30,14,20,29,19,24,11,12,10,18,25,27,7,5,1,8,6,16,3,2,9,4,26,13,28,22,15,21,17
"94",18,14,26,5,3,13,8,11,21,29,23,6,24,30,7,20,10,2,9,4,19,27,15,16,12,28,22,1,17,25
"95",2,7,29,8,10,16,23,22,19,28,5,25,15,26,30,9,24,14,27,18,13,4,3,11,12,1,6,17,21,20
"96",5,10,22,13,7,21,25,28,19,12,2,1,17,15,14,9,24,18,16,30,8,6,27,4,3,29,26,11,23,20
"97",11,12,22,23,13,10,28,3,19,30,16,18,20,15,7,8,21,25,6,26,1,24,27,29,9,17,14,2,4,5
"98",3,9,4,17,19,15,11,16,1,26,23,7,6,8,25,20,5,28,29,14,22,24,30,12,10,21,27,18,2,13
"99",17,19,16,12,1,22,18,24,15,8,20,9,2,29,6,11,26,7,4,13,3,21,23,30,25,5,28,27,14,10
"100",9,27,8,19,14,11,20,16,22,28,21,10,6,24,2,30,5,23,12,4,25,29,1,15,3,13,18,7,26,17
