PU_Gap_Code,PU_Code,Gap_Code,HUC8_Basin_Name,CREP_Area,CRP_Area,NRCS_Area,CSP_Area,FDA_Area,IDNR_Area,NP_Area,All_Conservation_Area,Total_Area,Shape_Length,Shape_Area,CRP_Percent,CREP_Percent,NRCS_Percent,CSP_Percent,FDA_Percent,INDR_Percent,NP_Percent,Total_Conservation_Percent,size_class,C_Order,Link,DS_Order,DS_Link,US_L3NAME,NA_L2NAME,EPA_REGION
kasky10,kasky,10,Upper,0,36942.73235,0,0,0,0,0,36942.73235,10648383.94,23139.16876,10681541.48,0.003469328,0,0,0,0,0,0,0.003469328,1,1,1,3,6,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky100,kasky,100,Upper,0,849386.6902,0,0,0,0,0,849386.6902,3084281.024,12046.48088,3093822.889,0.27539212,0,0,0,0,0,0,0.27539212,2,4,24,4,25,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1000,kasky,1000,Shoal,0,25290.85893,0,0,0,0,0,25290.85893,3847168.287,14430.01532,3853336.64,0.006573889,0,0,0,0,0,0,0.006573889,1,1,1,2,2,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1001,kasky,1001,Shoal,0,0,0,0,0,0,0,0,1968161,8692.917445,1970700.804,0,0,0,0,0,0,0,0,1,1,1,2,3,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1002,kasky,1002,Shoal,0,101977.017,0,0,0,0,0,101977.017,2054614.744,10748.03387,2058121.987,0.049633157,0,0,0,0,0,0,0.049633157,1,2,5,2,6,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1003,kasky,1003,Upper,0,2415900.717,0,0,348870.4909,0,0,2764771.208,4748968.302,15282.4622,4760706.95,0.508721171,0,0,0,0.073462375,0,0,0.582183546,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky1004,kasky,1004,Upper,0,83500.69362,0,0,0,291350.8087,0,374851.5023,2990920.379,10390.42782,2998685.209,0.02791806,0,0,0,0,0.097411757,0,0.125329817,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky1005,kasky,1005,Upper,0,212291.0444,0,0,0,0,0,212291.0444,486809.6466,4831.570792,487850.8654,0.436086355,0,0,0,0,0,0,0.436086355,1,2,3,3,13,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky1006,kasky,1006,Upper,0,4897012.161,0,0,599879.2604,0,0,5496891.421,8138294.179,19989.82474,8155501.713,0.601724643,0,0,0,0.073710688,0,0,0.675435331,1,3,10,3,13,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky1007,kasky,1007,Upper,0,4571251.349,0,0,0,0,0,4571251.349,1665126.171,8817.36574,1668577.973,2.745288272,0,0,0,0,0,0,2.745288272,1,3,7,3,8,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky1008,kasky,1008,Upper,0,3394080.827,0,0,0,0,0,3394080.827,3209321.521,11473.87731,3215882.243,1.057569584,0,0,0,0,0,0,1.057569584,1,1,1,3,7,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky1009,kasky,1009,Upper,0,1009683.762,0,0,0,0,0,1009683.762,4455840.977,12777.04146,4467714.834,0.2265978,0,0,0,0,0,0,0.2265978,1,2,2,2,3,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky101,kasky,101,Upper,0,347091.6919,0,0,0,0,0,347091.6919,1875973.728,7611.359279,1881249.987,0.185019484,0,0,0,0,0,0,0.185019484,1,1,1,2,4,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1010,kasky,1010,Shoal,0,260137.5527,0,0,0,0,0,260137.5527,1663313.633,7969.196466,1665532.77,0.156397175,0,0,0,0,0,0,0.156397175,1,1,1,3,11,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1011,kasky,1011,Shoal,0,0,0,0,0,0,0,0,4509673.336,13984.71606,4515301.687,0,0,0,0,0,0,0,0,1,1,1,2,2,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky1012,kasky,1012,Shoal,0,123.6991955,0,0,0,0,0,123.6991955,665153.1059,5010.600255,666062.5751,1.86E-04,0,0,0,0,0,0,1.86E-04,1,2,5,3,16,Central Corn Belt Plains,CENTRAL USA PLAINS,5
